empresa;uc;mes_ref;consumo;injetado;saldo;Tipo_de_Instalacao;Custo_de_Disponibilidade
Empresa W;10030001;2023-01-01;1382.43;1017.8;;Monofásico;30
Empresa W;10030001;2023-02-01;1336.11;1306.11;;Monofásico;30
Empresa W;10030001;2023-03-01;1503.97;1473.97;;Monofásico;30
Empresa W;10030001;2023-04-01;1504.42;1101.04;;Monofásico;30
Empresa W;10030001;2023-05-01;1781.69;1470.58;;Monofásico;30
Empresa W;10030001;2023-06-01;1046.71;1016.71;;Monofásico;30
Empresa W;10030001;2023-07-01;947.05;917.05;;Monofásico;30
Empresa W;10030001;2023-08-01;1003.4;794.73;;Monofásico;30
Empresa W;10030001;2023-09-01;1302.69;1272.69;;Monofásico;30
Empresa W;10030001;2023-10-01;1669.13;1639.13;;Monofásico;30
Empresa W;10030001;2023-11-01;1685.47;1490.46;;Monofásico;30
Empresa W;10030001;2023-12-01;1748.71;1278.16;;Monofásico;30
Empresa W;10030001;2024-01-01;1411.05;1351.0;;Monofásico;30
Empresa W;10030001;2024-02-01;1378.67;1348.67;;Monofásico;30
Empresa W;10030001;2024-03-01;1534.99;1504.99;;Monofásico;30
Empresa W;10030001;2024-04-01;1528.2;1498.2;;Monofásico;30
Empresa W;10030001;2024-05-01;1825.79;1795.79;;Monofásico;30
Empresa W;10030001;2024-06-01;1090.37;1060.37;;Monofásico;30
Empresa W;10030001;2024-07-01;1291.6;1261.6;;Monofásico;30
Empresa W;10030001;2024-08-01;1445.72;1415.72;;Monofásico;30
Empresa W;10030001;2024-09-01;1712.89;1682.89;;Monofásico;30
Empresa W;10030001;2024-10-01;2030.18;2000.18;;Monofásico;30
Empresa W;10030001;2024-11-01;1934.63;1720.02;;Monofásico;30
Empresa W;10030001;2024-12-01;2004.87;1592.26;0.0;Monofásico;30
Empresa W;10030002;2023-01-01;1545.74;1515.74;;Monofásico;30
Empresa W;10030002;2023-02-01;1493.96;1463.96;;Monofásico;30
Empresa W;10030002;2023-03-01;1681.65;1651.65;;Monofásico;30
Empresa W;10030002;2023-04-01;1682.15;1652.15;;Monofásico;30
Empresa W;10030002;2023-05-01;1992.17;1962.17;;Monofásico;30
Empresa W;10030002;2023-06-01;1170.37;844.64;;Monofásico;30
Empresa W;10030002;2023-07-01;1058.93;820.09;;Monofásico;30
Empresa W;10030002;2023-08-01;1121.94;1091.94;;Monofásico;30
Empresa W;10030002;2023-09-01;1456.59;1426.59;;Monofásico;30
Empresa W;10030002;2023-10-01;1866.32;1836.32;;Monofásico;30
Empresa W;10030002;2023-11-01;1884.58;1580.59;;Monofásico;30
Empresa W;10030002;2023-12-01;1955.3;1573.58;;Monofásico;30
Empresa W;10030002;2024-01-01;1592.36;1562.36;;Monofásico;30
Empresa W;10030002;2024-02-01;1540.74;1510.74;;Monofásico;30
Empresa W;10030002;2024-03-01;1727.06;1697.06;;Monofásico;30
Empresa W;10030002;2024-04-01;1700.73;1670.73;;Monofásico;30
