usina;uc;mes_ref;consumo;injetado;saldo;Tipo_de_Instalacao;Custo_de_Disponibilidade
Usina_Z;10030001;2023-01-01;998.26;908.87;;Bifásico;50
Usina_Z;10030001;2023-02-01;964.82;914.82;;Bifásico;50
Usina_Z;10030001;2023-03-01;1086.03;745.0;;Bifásico;50
Usina_Z;10030001;2023-04-01;1086.35;1036.35;;Bifásico;50
Usina_Z;10030001;2023-05-01;1286.57;1236.57;;Bifásico;50
Usina_Z;10030001;2023-06-01;755.84;537.05;;Bifásico;50
Usina_Z;10030001;2023-07-01;683.87;633.87;;Bifásico;50
Usina_Z;10030001;2023-08-01;724.56;674.56;;Bifásico;50
Usina_Z;10030001;2023-09-01;940.68;692.87;;Bifásico;50
Usina_Z;10030001;2023-10-01;1205.29;1155.29;;Bifásico;50
Usina_Z;10030001;2023-11-01;1217.09;1167.09;;Bifásico;50
Usina_Z;10030001;2023-12-01;1262.76;1212.76;;Bifásico;50
Usina_Z;10030001;2024-01-01;1014.03;943.17;;Bifásico;50
Usina_Z;10030001;2024-02-01;976.12;926.12;;Bifásico;50
Usina_Z;10030001;2024-03-01;1102.93;1052.93;;Bifásico;50
Usina_Z;10030001;2024-04-01;1105.59;1055.59;;Bifásico;50
Usina_Z;10030001;2024-05-01;1314.38;1264.38;;Bifásico;50
Usina_Z;10030001;2024-06-01;767.09;581.46;;Bifásico;50
Usina_Z;10030001;2024-07-01;969.28;919.28;;Bifásico;50
Usina_Z;10030001;2024-08-01;959.76;668.67;;Bifásico;50
Usina_Z;10030001;2024-09-01;1174.9;854.58;;Bifásico;50
Usina_Z;10030001;2024-10-01;1379.28;1329.28;;Bifásico;50
Usina_Z;10030001;2024-11-01;1429.58;1379.58;;Bifásico;50
Usina_Z;10030001;2024-12-01;1504.72;1454.72;6561.18;Bifásico;50
Usina_Z;10030002;2023-01-01;1027.36;901.61;;Bifásico;50
Usina_Z;10030002;2023-02-01;992.94;664.74;;Bifásico;50
Usina_Z;10030002;2023-03-01;1117.68;771.18;;Bifásico;50
Usina_Z;10030002;2023-04-01;1118.02;881.62;;Bifásico;50
Usina_Z;10030002;2023-05-01;1324.07;1274.07;;Bifásico;50
Usina_Z;10030002;2023-06-01;777.87;727.87;;Bifásico;50
Usina_Z;10030002;2023-07-01;703.8;631.98;;Bifásico;50
Usina_Z;10030002;2023-08-01;745.68;613.5;;Bifásico;50
Usina_Z;10030002;2023-09-01;968.1;654.43;;Bifásico;50
Usina_Z;10030002;2023-10-01;1240.42;892.37;;Bifásico;50
Usina_Z;10030002;2023-11-01;1252.56;1202.56;;Bifásico;50
Usina_Z;10030002;2023-12-01;1299.57;1202.81;;Bifásico;50
Usina_Z;10030002;2024-01-01;1038.91;988.91;;Bifásico;50
Usina_Z;10030002;2024-02-01;1018.54;968.54;;Bifásico;50
Usina_Z;10030002;2024-03-01;1146.55;1096.55;;Bifásico;50
Usina_Z;10030002;2024-04-01;1146.24;1096.24;;Bifásico;50
Usina_Z;10030002;2024-05-01;1337.26;1031.01;;Bifásico;50
Usina_Z;10030002;2024-06-01;803.36;753.36;;Bifásico;50
Usina_Z;10030002;2024-07-01;1035.67;985.67;;Bifásico;50
Usina_Z;10030002;2024-08-01;1059.54;1009.54;;Bifásico;50
Usina_Z;10030002;2024-09-01;1167.52;869.02;;Bifásico;50
Usina_Z;10030002;2024-10-01;1441.71;1275.74;;Bifásico;50
Usina_Z;10030002;2024-11-01;1539.59;1489.59;;Bifásico;50
Usina_Z;10030002;2024-12-01;1554.02;1504.02;6784.16;Bifásico;50
Usina_Z;10030003;2023-01-01;2567.79;2467.79;;Trifásico;100
Usina_Z;10030003;2023-02-01;2481.77;2381.77;;Trifásico;100
Usina_Z;10030003;2023-03-01;2793.56;2693.56;;Trifásico;100
Usina_Z;10030003;2023-04-01;2794.4;2694.4;;Trifásico;100
Usina_Z;10030003;2023-05-01;3309.4;2959.65;;Trifásico;100
