empresa;uc;mes_ref;consumo;injetado;saldo;Tipo_de_Instalacao;Custo_de_Disponibilidade
Empresa W;10030001;01/01/2023;1382.43;1017.8;;Monofásico;30
Empresa W;10030001;01/02/2023;1336.11;1306.11;;Monofásico;30
Empresa W;10030001;01/03/2023;1503.97;1473.97;;Monofásico;30
Empresa W;10030001;01/04/2023;1504.42;1101.04;;Monofásico;30
Empresa W;10030001;01/05/2023;1781.69;1470.58;;Monofásico;30
Empresa W;10030001;01/06/2023;1046.71;1016.71;;Monofásico;30
Empresa W;10030001;01/07/2023;947.05;917.05;;Monofásico;30
Empresa W;10030001;01/08/2023;1003.4;794.73;;Monofásico;30
Empresa W;10030001;01/09/2023;1302.69;1272.69;;Monofásico;30
Empresa W;10030001;01/10/2023;1669.13;1639.13;;Monofásico;30
Empresa W;10030001;01/11/2023;1685.47;1490.46;;Monofásico;30
Empresa W;10030001;01/12/2023;1748.71;1278.16;;Monofásico;30
Empresa W;10030001;01/01/2024;1411.05;1351.0;;Monofásico;30
Empresa W;10030001;01/02/2024;1378.67;1348.67;;Monofásico;30
Empresa W;10030001;01/03/2024;1534.99;1504.99;;Monofásico;30
Empresa W;10030001;01/04/2024;1528.2;1498.2;;Monofásico;30
Empresa W;10030001;01/05/2024;1825.79;1795.79;;Monofásico;30
Empresa W;10030001;01/06/2024;1090.37;1060.37;;Monofásico;30
Empresa W;10030001;01/07/2024;1291.6;1261.6;;Monofásico;30
Empresa W;10030001;01/08/2024;1445.72;1415.72;;Monofásico;30
Empresa W;10030001;01/09/2024;1712.89;1682.89;;Monofásico;30
Empresa W;10030001;01/10/2024;2030.18;2000.18;;Monofásico;30
Empresa W;10030001;01/11/2024;1934.63;1720.02;;Monofásico;30
Empresa W;10030001;01/12/2024;2004.87;1592.26;0.0;Monofásico;30
Empresa W;10030002;01/01/2023;1545.74;1515.74;;Monofásico;30
Empresa W;10030002;01/02/2023;1493.96;1463.96;;Monofásico;30
Empresa W;10030002;01/03/2023;1681.65;1651.65;;Monofásico;30
Empresa W;10030002;01/04/2023;1682.15;1652.15;;Monofásico;30
Empresa W;10030002;01/05/2023;1992.17;1962.17;;Monofásico;30
Empresa W;10030002;01/06/2023;1170.37;844.64;;Monofásico;30
Empresa W;10030002;01/07/2023;1058.93;820.09;;Monofásico;30
Empresa W;10030002;01/08/2023;1121.94;1091.94;;Monofásico;30
Empresa W;10030002;01/09/2023;1456.59;1426.59;;Monofásico;30
Empresa W;10030002;01/10/2023;1866.32;1836.32;;Monofásico;30
Empresa W;10030002;01/11/2023;1884.58;1580.59;;Monofásico;30
Empresa W;10030002;01/12/2023;1955.3;1573.58;;Monofásico;30
Empresa W;10030002;01/01/2024;1592.36;1562.36;;Monofásico;30
Empresa W;10030002;01/02/2024;1540.74;1510.74;;Monofásico;30
Empresa W;10030002;01/03/2024;1727.06;1697.06;;Monofásico;30
Empresa W;10030002;01/04/2024;1700.73;1670.73;;Monofásico;30
Empresa W;10030002;01/05/2024;2009.14;1979.14;;Monofásico;30
Empresa W;10030002;01/06/2024;1202.86;898.66;;Monofásico;30
Empresa W;10030002;01/07/2024;1496.1;1466.1;;Monofásico;30
Empresa W;10030002;01/08/2024;1537.72;1507.72;;Monofásico;30
Empresa W;10030002;01/09/2024;1747.3;1565.2;;Monofásico;30
Empresa W;10030002;01/10/2024;2166.34;2136.34;;Monofásico;30
Empresa W;10030002;01/11/2024;2300.48;2270.48;;Monofásico;30
Empresa W;10030002;01/12/2024;2389.44;2359.44;7814.67;Monofásico;30
Empresa W;10030003;01/01/2023;1284.18;1234.18;;Bifásico;50
Empresa W;10030003;01/02/2023;1241.16;1191.16;;Bifásico;50
Empresa W;10030003;01/03/2023;1397.09;1347.09;;Bifásico;50
Empresa W;10030003;01/04/2023;1397.51;1134.96;;Bifásico;50
Empresa W;10030003;01/05/2023;1655.07;1605.07;;Bifásico;50
Empresa W;10030003;01/06/2023;972.32;896.22;;Bifásico;50
Empresa W;10030003;01/07/2023;879.74;829.74;;Bifásico;50
Empresa W;10030003;01/08/2023;932.09;810.73;;Bifásico;50
Empresa W;10030003;01/09/2023;1210.12;987.35;;Bifásico;50
Empresa W;10030003;01/10/2023;1550.51;1085.99;;Bifásico;50
Empresa W;10030003;01/11/2023;1565.69;1515.69;;Bifásico;50
Empresa W;10030003;01/12/2023;1624.44;1574.44;;Bifásico;50
Empresa W;10030003;01/01/2024;1301.58;1251.58;;Bifásico;50
Empresa W;10030003;01/02/2024;1263.39;1213.39;;Bifásico;50
Empresa W;10030003;01/03/2024;1432.8;1382.8;;Bifásico;50
Empresa W;10030003;01/04/2024;1418.15;1368.15;;Bifásico;50
Empresa W;10030003;01/05/2024;1673.43;1623.43;;Bifásico;50
Empresa W;10030003;01/06/2024;991.51;941.51;;Bifásico;50
Empresa W;10030003;01/07/2024;1211.57;1161.57;;Bifásico;50
Empresa W;10030003;01/08/2024;1170.01;1120.01;;Bifásico;50
Empresa W;10030003;01/09/2024;1488.31;1146.31;;Bifásico;50
Empresa W;10030003;01/10/2024;1814.05;1764.05;;Bifásico;50
Empresa W;10030003;01/11/2024;1868.74;1818.74;;Bifásico;50
Empresa W;10030003;01/12/2024;1917.1;1551.02;0.0;Bifásico;50
Empresa W;10030004;01/01/2023;1589.6;1489.6;;Trifásico;100
Empresa W;10030004;01/02/2023;1536.35;1306.19;;Trifásico;100
Empresa W;10030004;01/03/2023;1729.37;1629.37;;Trifásico;100
Empresa W;10030004;01/04/2023;1729.88;1629.88;;Trifásico;100
Empresa W;10030004;01/05/2023;2048.7;1948.7;;Trifásico;100
Empresa W;10030004;01/06/2023;1203.58;1103.58;;Trifásico;100
Empresa W;10030004;01/07/2023;1088.98;988.98;;Trifásico;100
Empresa W;10030004;01/08/2023;1153.77;1053.77;;Trifásico;100
Empresa W;10030004;01/09/2023;1497.92;1397.92;;Trifásico;100
Empresa W;10030004;01/10/2023;1919.28;1426.09;;Trifásico;100
Empresa W;10030004;01/11/2023;1938.06;1747.59;;Trifásico;100
Empresa W;10030004;01/12/2023;2010.79;1774.53;;Trifásico;100
Empresa W;10030004;01/01/2024;1637.62;1145.1;;Trifásico;100
Empresa W;10030004;01/02/2024;1585.64;1485.64;;Trifásico;100
Empresa W;10030004;01/03/2024;1756.53;1656.53;;Trifásico;100
Empresa W;10030004;01/04/2024;1777.26;1677.26;;Trifásico;100
Empresa W;10030004;01/05/2024;2074.4;1974.4;;Trifásico;100
Empresa W;10030004;01/06/2024;1238.42;1138.42;;Trifásico;100
Empresa W;10030004;01/07/2024;1507.41;1407.41;;Trifásico;100
Empresa W;10030004;01/08/2024;1473.29;1337.57;;Trifásico;100
Empresa W;10030004;01/09/2024;1855.06;1668.03;;Trifásico;100
Empresa W;10030004;01/10/2024;2377.31;2094.75;;Trifásico;100
Empresa W;10030004;01/11/2024;2213.93;2113.93;;Trifásico;100
Empresa W;10030004;01/12/2024;2472.57;2372.57;9397.24;Trifásico;100
Empresa W;10030005;01/01/2023;481.41;381.41;;Trifásico;100
Empresa W;10030005;01/02/2023;465.28;365.28;;Trifásico;100
